Year,Genre,Gross,Tickets Sold,
1995,Drama,"1,335,703,611","307,058,238",
1995,Comedy,"1,038,877,996","307,058,238",
1995,Action,"960,279,201","220,753,826",
1996,Drama,"1,259,046,490","284,852,089",
1996,Action,"1,224,837,394","277,112,515",
1996,Comedy,"1,135,415,770","256,881,357",
1997,Action,"1,706,644,126","371,817,877",
1997,Comedy,"1,223,043,833","266,458,312",
1997,Drama,"1,006,899,649","219,368,060",
1998,Drama,"1,886,024,272","402,137,313",
1998,Adventure,"1,345,930,803","286,978,837",
1998,Comedy,"1,042,126,964","222,201,869",
1999,Adventure,"1,462,259,050","287,846,255",
1999,Drama,"1,229,466,088","242,020,803",
1999,Comedy,"1,191,994,180","234,644,487",
2000,Comedy,"1,698,441,791","315,109,795",
2000,Drama,"1,609,402,386","298,590,421",
2000,Adventure,"1,300,212,239","241,226,762",
2001,Adventure,"2,189,276,263","386,797,911",
2001,Comedy,"1,617,959,982","285,858,606",
2001,Action,"1,389,793,606","245,546,561",
2002,Adventure,"2,859,347,352","492,142,378",
2002,Action,"1,394,290,142","239,981,075",
2002,Drama,"1,250,003,940","215,146,891",
2003,Action,"2,160,611,421","358,310,334",
2003,Comedy,"2,142,980,175","355,386,387",
2003,Adventure,"2,061,590,730","341,888,986",
2004,Adventure,"2,849,355,931","458,833,463",
2004,Comedy,"1,510,705,203","243,269,701",
2004,Drama,"1,355,646,402","218,300,435",
2005,Adventure,"2,441,299,148","380,857,884",
2005,Comedy,"1,624,163,681","253,379,603",
2005,Action,"1,258,532,013","196,338,827",
2006,Adventure,"2,724,876,268","416,011,622",
2006,Comedy,"1,833,891,406","279,983,359",
2006,Drama,"1,459,314,980","222,796,054",
2007,Adventure,"3,038,649,014","441,664,085",
2007,Comedy,"1,482,427,128","215,468,999",
2007,Action,"1,423,997,440","206,976,356",
2008,Adventure,"2,967,617,239","413,317,155",
2008,Comedy,"2,033,798,037","283,258,745",
2008,Action,"1,614,042,137","224,796,946",
2009,Adventure,"2,703,491,754","360,465,560",
2009,Action,"1,877,996,880","250,399,578",
2009,Drama,"1,826,997,034","243,599,521",
2010,Adventure,"3,029,015,195","383,905,594",
2010,Action,"1,980,801,047","251,052,087",
2010,Drama,"1,508,170,765","191,149,562",
2011,Adventure,"2,524,239,784","318,315,221",
2011,Action,"2,166,175,285","273,162,059",
2011,Drama,"1,445,487,651","182,280,806",
2012,Action,"2,711,028,641","340,581,460",
2012,Adventure,"2,622,265,130","329,430,273",
2012,Drama,"1,702,317,001","213,858,800",
2013,Adventure,"2,922,343,544","359,451,832",
2013,Action,"2,507,838,805","308,467,233",
2013,Comedy,"1,644,738,629","202,304,824",
2014,Action,"2,977,333,982","364,422,735",
2014,Adventure,"2,710,193,306","331,724,982",
2014,Drama,"1,612,876,344","197,414,353",
2015,Action,"3,404,089,276","403,806,534",
2015,Adventure,"3,161,519,470","375,031,948",
2015,Drama,"2,063,791,052","244,814,938",
2016,Adventure,"3,999,054,047","462,318,368",
2016,Action,"2,472,301,186","285,815,137",
2016,Comedy,"1,401,195,803","161,987,908",
2017,Action,"3,290,174,738","366,797,596",
2017,Adventure,"2,605,731,359","290,494,009",
2017,Drama,"1,379,412,475","153,780,545",
2018,Action,"3,980,871,325","436,978,173",
2018,Adventure,"2,989,474,538","328,153,062",
2018,Drama,"1,608,744,134","176,590,906",
2019,Adventure,"3,205,393,558","349,933,780",
2019,Action,"2,899,220,907","316,508,812",
2019,Drama,"1,361,724,845","148,659,821",
2020,Adventure,"675,599,464","73,594,698",
2020,Action,"429,641,958","46,801,942",
2020,Drama,"273,422,636","29,784,535",
2021,Action,"2,301,282,805","226,281,484",
2021,Adventure,"702,220,302","69,048,202",
2021,Horror,"583,265,852","57,351,587",
2022,Action,"3,958,325,364","375,909,323",
2022,Adventure,"1,264,161,357","120,053,303",
2022,Drama,"645,249,246","61,277,169",
2023,Action,"2,471,366,450","225,901,851",
2023,Adventure,"2,112,019,860","193,054,822",
2023,Comedy,"1,079,630,239","98,686,470",
2024,Action,"2,527,477,684","223,472,827",
2024,Adventure,"1,710,579,646","151,244,883",
2024,Musical,"1,150,913,296","101,760,681",
2025,Action,"1,848,672,440","163,454,681",
2025,Adventure,"1,483,522,760","131,169,121",
2025,Horror,"745,791,609","65,940,905",
